d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_26_628.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_26_628.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_26_628.jpg, 0, 0, 0, 7.825906E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_26_729.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_26_729.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_26_729.jpg, 0, 0, 0, 7.819488E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_26_830.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_26_830.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_26_830.jpg, 0, 0, 0, 7.861848E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_26_931.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_26_931.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_26_931.jpg, 0, 0, 0, 7.965077E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_032.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_032.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_032.jpg, 0, 0, 0, 7.878922E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_134.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_134.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_134.jpg, 0, 0, 0, 7.822084E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_235.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_235.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_235.jpg, 0, 0, 0, 7.868566E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_335.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_335.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_335.jpg, 0, 0, 0, 7.759897E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_436.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_436.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_436.jpg, 0, 0, 0, 7.820429E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_538.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_538.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_538.jpg, 0, 0, 0, 7.78387E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_639.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_639.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_639.jpg, 0, 0, 0, 7.824825E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_741.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_741.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_741.jpg, 0, 0, 0, 7.902161E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_842.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_842.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_842.jpg, 0, 0, 0, 7.824822E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_27_942.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_27_942.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_27_942.jpg, 0, 0, 0, 7.797754E-05
d:\AiR\SEM7\data\IMG\center_2022_11_02_19_52_28_042.jpg, d:\AiR\SEM7\data\IMG\left_2022_11_02_19_52_28_042.jpg, d:\AiR\SEM7\data\IMG\right_2022_11_02_19_52_28_042.jpg, 0, 0, 0, 7.812811E-05
